date,type,quantity,price,fees,notes,assetId
09/04/2019,COMPRA,2,4589.86,,"RENTABILIDADE CONTRATADA IPCA + 3,71%",cmdxl26eo000094vqvri2n80m
30/10/2019,COMPRA,1,4956.01,,RENTABILIDADE CONTRATADA IPCA + 3.28%,cmdxl65il000294vqdzkv4f68
