ticker,name,type,currency,description
T2050A,IPCA+ 2050 Aplicado em 04/09/2019,TESOURO_DIRETO,BRL,"2 títulos de 4.589,86"
T2050B,IPCA+ 2050 Aplicado em 30/10/2019,TESOURO_DIRETO,BRL,"1 título de 4.956,01"
